Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,1.14
2017,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,0.84
2018,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,0.8
2019,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,0.8
2020,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,0.6
2020,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,Rural,Percent,0.5
2020,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,,Urban,Percent,1.7
2020,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,Female,,Percent,0.7
2020,Normal value,Units,"MSNASDPHG, Rapport annuel , Administrative",Proportion of population covered by at least one social protection benefit [1.3.1],,Male,,Percent,0.6
2012,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,4.8
2016,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,7.8
2017,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,8.0
2018,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,8.6
2019,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,8.4
2020,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,13.4
2021,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,14.3
2023,Normal value,Units,"MSNASDPHG,  Annuaire statistique du MSNASDPHG, Administrative",Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,5.2
2012,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,19.1
2013,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,40.8
2014,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,22.9
2015,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,69.1
2016,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,72.2
2020,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,23.9
2021,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,23.9
2023,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,,Percent,33.0
2020,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,Rural,Percent,21.6
2020,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,,Urban,Percent,6.1
2020,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,Female,,Percent,20.4
2020,Normal value,Units,"MSNASDPHG, SEP/CNPS, Rapport sur la revue semestrielle, Administrative",Proportion of population covered by social insurance programs [1.3.1],,Male,,Percent,19.7
